currency,term,ticker,field,type,mat_days ,fx_base_convention,base
EURAUD,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURAUD,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURAUD,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURAUD,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURAUD,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
EURJPY,1W,EURJPY1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURJPY,2W,EURJPY2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURJPY,3W,EURJPY3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURJPY,1M,EURJPY1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURJPY,2M,EURJPY2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURJPY,3M,EURJPY3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURJPY,4M,EURJPY4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURJPY,5M,EURJPY5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURJPY,6M,EURJPY6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURJPY,9M,EURJPY9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURJPY,12M,EURJPY12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURJPY,SP,EURJPY BGN Curncy,PX_ASK,spot,0,1,EUR
EURJPY,1W,JYSO1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURJPY,2W,JYSO2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURJPY,3W,JYSO1Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURJPY,1M,JYSOA BGN Curncy,PX_LAST,investment,30,1,EUR
EURJPY,2M,JYSOB BGN Curncy,PX_LAST,investment,60,1,EUR
EURJPY,3M,JYSOC BGN Curncy,PX_LAST,investment,90,1,EUR
EURJPY,4M,JYSOD BGN Curncy,PX_LAST,investment,120,1,EUR
